# data from table 5 of Urban et al 2017
# note: coma cluster values are from Simionescu et al 2013
# average metallicity: 0.316 +- 0.012
# cluster  r/r200  rerr  z/zsun zerr
AWM7	   0.285   0.015 0.386	0.035
AWM7	   0.32	   0.02	 0.261	0.043
AWM7	   0.37	   0.03	 0.404	0.071
HydraA	   0.30	   0.06	 0.268	0.055
HydraA	   0.42	   0.06	 0.243	0.072
HydraA	   0.54	   0.06	 0.361	0.115
A262	   0.28	   0.02	 0.370	0.053
A133	   0.31	   0.06	 0.454	0.071
A133	   0.43	   0.06	 0.260	0.083
A133	   0.56	   0.07	 0.321	0.120
A2204	   0.66	   0.13	 0.413	0.076
A2204	   0.93	   0.13	 0.268	0.147
A1795	   0.29	   0.06	 0.306	0.029
A1795	   0.40	   0.05	 0.341	0.056
A1795	   0.52	   0.06	 0.145	0.064
A2029	   0.34	   0.07	 0.355	0.087	
A2029	   0.55	   0.14	 0.276	0.094
A2142	   0.31	   0.06	 0.358	0.042
A2142	   0.43	   0.06	 0.354	0.064
A1689	   0.62	   0.12	 0.353	0.131
Coma	   0.25	   0.02	 0.285	0.035
Coma	   0.29	   0.02	 0.281	0.059
Coma	   0.34	   0.03	 0.240	0.072
Coma	   0.40	   0.03	 0.327	0.068
Coma	   0.50	   0.08	 0.260	0.056
Coma	   0.71	   0.13	 0.410	0.180
